,Game Date,Game Time,Matchup,Team,Player Name,Current Status,Reason
0,12/25/2020,12:00 (ET),NOP@MIA,Miami Heat,,,NOT YET SUBMITTED
1,,,,New Orleans Pelicans,,,NOT YET SUBMITTED
2,,02:30 (ET),GSW@MIL,Golden State Warriors,,,NOT YET SUBMITTED
3,,,,Milwaukee Bucks,,,NOT YET SUBMITTED
4,,05:00 (ET),BKN@BOS,Boston Celtics,,,NOT YET SUBMITTED
5,,,,Brooklyn Nets,,,NOT YET SUBMITTED
6,,08:00 (ET),DAL@LAL,Dallas Mavericks,,,NOT YET SUBMITTED
7,,,,Los Angeles Lakers,,,NOT YET SUBMITTED
8,,10:30 (ET),LAC@DEN,Denver Nuggets,,,NOT YET SUBMITTED
9,,,,LA Clippers,,,NOT YET SUBMITTED
