date,team,position,name,starter,salary
2019-12-10,DEN,F/G/PG/SF/UTIL,Will Barton,True,5500
2019-12-10,MIA,G/PG/SG/UTIL,Kendrick Nunn,True,5400
2019-12-10,CHA,G/PG/UTIL,Devonte' Graham,True,8400
2019-12-10,POR,G/PG/UTIL,Damian Lillard,True,8800
2019-12-10,CHA,G/PG/SG/UTIL,Terry Rozier,True,7400
2019-12-10,ATL,G/PG/UTIL,Trae Young,True,10400
2019-12-10,WAS,G/SG/UTIL,Bradley Beal,True,9300
2019-12-10,POR,G/PG/SG/UTIL,Anfernee Simons,False,3600
2019-12-10,PHI,F/G/PG/SF/UTIL,Ben Simmons,True,7900
2019-12-10,DEN,G/SG/UTIL,Gary Harris,True,4200
2019-12-10,ATL,G/PG/SG/UTIL,Cam Reddish,False,4500
2019-12-10,POR,G/PG/SG/UTIL,C.J. McCollum,True,7100
2019-12-10,WAS,G/PG/UTIL,Ishmael Smith,True,5200
2019-12-10,DEN,G/PG/UTIL,Monte Morris,False,3300
2019-12-10,NYK,G/PG/SG/UTIL,Allonzo Trier,False,3000
2019-12-10,WAS,G/PG/UTIL,Chris Chiozza,False,3100
2019-12-10,CHA,G/PG/SG/UTIL,Malik Monk,False,3900
2019-12-10,NYK,G/PG/UTIL,Elfrid Payton,False,4200
2019-12-10,NYK,G/PG/UTIL,Dennis Smith Jr.,False,3300
2019-12-10,NYK,G/PG/SG/UTIL,RJ Barrett,True,5500
2019-12-10,DEN,G/PG/SG/UTIL,Malik Beasley,False,3200
2019-12-10,POR,G/SG/UTIL,Gary Trent Jr.,False,3000
2019-12-10,NYK,G/PG/SG/UTIL,Frank Ntilikina,True,3500
2019-12-10,ATL,G/PG/SG/UTIL,DeAndre Bembry,False,4000
2019-12-10,PHI,G/PG/UTIL,Raul Neto,False,3000
2019-12-10,MIA,G/SG/UTIL,Tyler Herro,False,5900
2019-12-10,DEN,G/PG/SG/UTIL,Jamal Murray,True,6700
2019-12-10,MIA,G/PG/SG/UTIL,Daryl Macon,False,3000
2019-12-10,PHI,G/PG/SG/UTIL,Shake Milton,False,3000
2019-12-10,WAS,G/PG/UTIL,Justin Robinson,False,3000
2019-12-10,ATL,F/G/PG/SF/UTIL,Evan Turner,False,3600
2019-12-10,PHI,G/PG/SG/UTIL,Trey Burke,False,3000
2019-12-10,ATL,G/PG/SG/UTIL,Tyrone Wallace,False,3000
2019-12-10,MIA,F/G/PG/SF/UTIL,Justise Winslow,False,6100
2019-12-10,MIA,G/PG/UTIL,Goran Dragic,False,5800
2019-12-10,WAS,G/PG/UTIL,John Wall,False,3000
2019-12-10,ATL,G/PG/SG/UTIL,Brandon Goodwin,False,3000
2019-12-10,WAS,G/PG/SG/UTIL,Jordan McRae,False,4200
2019-12-10,WAS,G/PG/UTIL,Isaiah Thomas,False,4900
2019-12-10,NYK,G/PG/SG/UTIL,Kadeem Allen,False,3000
2019-12-10,CHA,G/SG/UTIL,Kobi Simmons,False,3000
2019-12-10,MIA,F/G/SF/SG/UTIL,Jimmy Butler,True,9100
2019-12-10,MIA,F/G/SF/SG/UTIL,Duncan Robinson,True,4500
2019-12-10,WAS,F/PF/SF/UTIL,Davis Bertans,False,6300
2019-12-10,ATL,F/PF/SF/UTIL,De'Andre Hunter,True,4400
2019-12-10,PHI,F/PF/SF/UTIL,Tobias Harris,True,7000
2019-12-10,ATL,F/PF/SF/UTIL,Jabari Parker,True,6200
2019-12-10,CHA,F/PF/SF/UTIL,Miles Bridges,True,5100
2019-12-10,POR,F/PF/SF/UTIL,Carmelo Anthony,True,5600
2019-12-10,ATL,F/G/SF/SG/UTIL,Kevin Huerter,True,4400
2019-12-10,MIA,F/PF/SF/UTIL,Derrick Jones,False,3600
2019-12-10,WAS,F/G/SF/SG/UTIL,Troy Brown Jr.,False,5000
2019-12-10,PHI,F/G/SF/SG/UTIL,Matisse Thybulle,False,4300
2019-12-10,ATL,F/PF/SF/UTIL,Vince Carter,False,3300
2019-12-10,POR,F/PF/SF/UTIL,Mario Hezonja,False,3000
2019-12-10,POR,F/PF/SF/UTIL,Nassir Little,False,3300
2019-12-10,ATL,F/G/SF/SG/UTIL,Allen Crabbe,False,3500
2019-12-10,NYK,F/G/SF/SG/UTIL,Damyean Dotson,False,3200
2019-12-10,PHI,F/G/SF/SG/UTIL,Furkan Korkmaz,False,3500
2019-12-10,DEN,F/PF/SF/UTIL,Michael Porter,False,3000
2019-12-10,NYK,F/PF/SF/UTIL,Marcus Morris,True,5300
2019-12-10,NYK,F/PF/SF/UTIL,Kevin Knox,False,3200
2019-12-10,PHI,F/PF/SF/UTIL,Mike Scott,False,3300
2019-12-10,PHI,F/PF/SF/UTIL,James Ennis,False,3700
2019-12-10,POR,F/G/SF/SG/UTIL,Kent Bazemore,True,5000
2019-12-10,CHA,F/PF/SF/UTIL,Michael Kidd-Gilchrist,False,3300
2019-12-10,PHI,F/G/SF/SG/UTIL,Josh Richardson,True,5700
2019-12-10,POR,F/PF/SF/UTIL,Jaylen Hoard,False,3000
2019-12-10,WAS,F/SF/UTIL,Isaac Bonga,True,3100
2019-12-10,DEN,F/G/SF/SG/UTIL,Torrey Craig,False,3000
2019-12-10,CHA,F/G/SF/SG/UTIL,Nicolas Batum,False,3700
2019-12-10,NYK,F/PF/SF/UTIL,Ignas Brazdeikis,False,3000
2019-12-10,DEN,F/PF/SF/UTIL,Juan Hernangomez,False,3100
2019-12-10,WAS,F/PF/SF/UTIL,Admiral Schofield,False,3000
2019-12-10,MIA,F/PF/SF/UTIL,KZ Okpala,False,3000
2019-12-10,CHA,F/G/SF/SG/UTIL,Dwayne Bacon,False,3600
2019-12-10,ATL,F/PF/SF/UTIL,Chandler Parsons,False,3000
2019-12-10,MIA,F/PF/SF/UTIL,James Johnson,False,3000
2019-12-10,MIA,F/PF/UTIL,Udonis Haslem,False,3000
2019-12-10,DEN,F/SF/UTIL,Vlatko Cancar,False,3000
2019-12-10,CHA,F/G/SF/SG/UTIL,Cody Martin,False,3000
2019-12-10,CHA,F/PF/SF/UTIL,Jalen McDaniels,False,3000
