Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SF,LeBron James (15050771),LeBron James,15050771,PG/SF/F/G/UTIL,10200,DEN@LAL 08/10/2020 09:00PM ET,LAL,55.07
PF/C,Anthony Davis (15050883),Anthony Davis,15050883,PF/C/F/UTIL,9900,DEN@LAL 08/10/2020 09:00PM ET,LAL,50.14
C,Nikola Jokic (15050919),Nikola Jokic,15050919,C/UTIL,9100,DEN@LAL 08/10/2020 09:00PM ET,DEN,47.53
SF/PF,T.J. Warren (15050890),T.J. Warren,15050890,SF/PF/F/UTIL,8400,IND@MIA 08/10/2020 08:00PM ET,IND,30.85
PF/C,Domantas Sabonis (15050936),Domantas Sabonis,15050936,PF/C/F/UTIL,8300,IND@MIA 08/10/2020 08:00PM ET,IND,44.2
C,Bam Adebayo (15050981),Bam Adebayo,15050981,C/UTIL,7900,IND@MIA 08/10/2020 08:00PM ET,MIA,41.26
SF/PF,Michael Porter Jr. (15050989),Michael Porter Jr.,15050989,SF/PF/F/UTIL,7700,DEN@LAL 08/10/2020 09:00PM ET,DEN,18.53
SG/SF,Jimmy Butler (15050810),Jimmy Butler,15050810,SG/SF/F/G/UTIL,7200,IND@MIA 08/10/2020 08:00PM ET,MIA,41.81
PG,Jamal Murray (15050959),Jamal Murray,15050959,PG/G/UTIL,7100,DEN@LAL 08/10/2020 09:00PM ET,DEN,34.11
PG,Malcolm Brogdon (15050875),Malcolm Brogdon,15050875,PG/G/UTIL,6900,IND@MIA 08/10/2020 08:00PM ET,IND,34.7
SG/SF,Will Barton (15050839),Will Barton,15050839,SG/SF/F/G/UTIL,6700,DEN@LAL 08/10/2020 09:00PM ET,DEN,31.88
C,Myles Turner (15050921),Myles Turner,15050921,C/UTIL,6300,IND@MIA 08/10/2020 08:00PM ET,IND,27.86
SG/SF,Victor Oladipo (15050858),Victor Oladipo,15050858,SG/SF/F/G/UTIL,5800,IND@MIA 08/10/2020 08:00PM ET,IND,25.35
SG,Tyler Herro (15050999),Tyler Herro,15050999,SG/G/UTIL,5300,IND@MIA 08/10/2020 08:00PM ET,MIA,23.27
SF/PF,Kyle Kuzma (15050932),Kyle Kuzma,15050932,SF/PF/F/UTIL,5200,DEN@LAL 08/10/2020 09:00PM ET,LAL,21.83
PF/C,Kelly Olynyk (15050831),Kelly Olynyk,15050831,PF/C/F/UTIL,5100,IND@MIA 08/10/2020 08:00PM ET,MIA,18.77
PG/SG,Kendrick Nunn (15050911),Kendrick Nunn,15050911,PG/SG/G/UTIL,5100,IND@MIA 08/10/2020 08:00PM ET,MIA,25.68
