slug,name,team,location,opponent,date_played,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,total_points_scored,total_rebounds,assists,steals,blocks,turnovers,double_double_flag,triple_double_flag,draftkings_points
drumman01,Andre Drummond,Team.DETROIT_PISTONS,Location.AWAY,Team.CHICAGO_BULLS,2018-01-13,Outcome.LOSS,2011,8,13,0,0,5,6,21,15,4,2,3,1,1,0,56.75
westbru01,Russell Westbrook,Team.OKLAHOMA_CITY_THUNDER,Location.AWAY,Team.CHARLOTTE_HORNETS,2018-01-13,Outcome.WIN,2194,10,27,0,3,5,7,25,10,7,2,1,3,1,0,54.0
walljo01,John Wall,Team.WASHINGTON_WIZARDS,Location.HOME,Team.BROOKLYN_NETS,2018-01-13,Outcome.WIN,2393,9,24,0,2,5,6,23,3,16,2,0,8,1,0,52.25
derozde01,DeMar DeRozan,Team.TORONTO_RAPTORS,Location.HOME,Team.GOLDEN_STATE_WARRIORS,2018-01-13,Outcome.LOSS,2268,17,31,0,4,8,10,42,5,3,0,0,2,0,0,51.75
dunnkr01,Kris Dunn,Team.CHICAGO_BULLS,Location.HOME,Team.DETROIT_PISTONS,2018-01-13,Outcome.WIN,1881,7,13,1,5,3,4,18,8,8,3,3,2,0,0,51.5
caulewi01,Willie Cauley-Stein,Team.SACRAMENTO_KINGS,Location.AWAY,Team.LOS_ANGELES_CLIPPERS,2018-01-13,Outcome.LOSS,1951,10,16,1,1,2,4,23,13,4,1,1,2,1,0,50.25
jokicni01,Nikola Jokić,Team.DENVER_NUGGETS,Location.AWAY,Team.SAN_ANTONIO_SPURS,2018-01-13,Outcome.LOSS,1824,8,13,3,6,4,4,23,9,7,2,0,2,0,0,49.25
curryst01,Stephen Curry,Team.GOLDEN_STATE_WARRIORS,Location.AWAY,Team.TORONTO_RAPTORS,2018-01-13,Outcome.WIN,2068,6,12,2,7,10,12,24,6,9,1,0,1,0,0,47.5
bealbr01,Bradley Beal,Team.WASHINGTON_WIZARDS,Location.HOME,Team.BROOKLYN_NETS,2018-01-13,Outcome.WIN,2563,10,23,4,10,0,0,24,4,6,3,0,2,0,0,45.0
leonaka01,Kawhi Leonard,Team.SAN_ANTONIO_SPURS,Location.HOME,Team.DENVER_NUGGETS,2018-01-13,Outcome.WIN,1707,5,8,0,1,9,11,19,8,4,4,1,3,0,0,43.5
adamsst01,Steven Adams,Team.OKLAHOMA_CITY_THUNDER,Location.AWAY,Team.CHARLOTTE_HORNETS,2018-01-13,Outcome.WIN,1866,7,11,0,0,0,0,14,11,1,3,4,3,1,0,43.25
duranke01,Kevin Durant,Team.GOLDEN_STATE_WARRIORS,Location.AWAY,Team.TORONTO_RAPTORS,2018-01-13,Outcome.WIN,2195,10,18,3,6,2,2,25,6,5,0,1,1,0,0,43.0
randlju01,Julius Randle,Team.LOS_ANGELES_LAKERS,Location.AWAY,Team.DALLAS_MAVERICKS,2018-01-13,Outcome.WIN,2013,9,15,0,0,5,6,23,15,2,0,0,7,1,0,42.75
reedwi02,Willie Reed,Team.LOS_ANGELES_CLIPPERS,Location.HOME,Team.SACRAMENTO_KINGS,2018-01-13,Outcome.WIN,1563,6,6,0,0,2,4,14,13,2,2,2,0,1,0,42.75
howardw01,Dwight Howard,Team.CHARLOTTE_HORNETS,Location.HOME,Team.OKLAHOMA_CITY_THUNDER,2018-01-13,Outcome.LOSS,2042,4,9,0,0,3,6,11,17,0,1,3,0,1,0,41.75
gortama01,Marcin Gortat,Team.WASHINGTON_WIZARDS,Location.HOME,Team.BROOKLYN_NETS,2018-01-13,Outcome.WIN,1802,6,8,0,0,4,6,16,13,2,1,1,1,1,0,40.25
willilo02,Lou Williams,Team.LOS_ANGELES_CLIPPERS,Location.HOME,Team.SACRAMENTO_KINGS,2018-01-13,Outcome.WIN,2123,7,17,4,9,8,9,26,1,2,4,0,2,0,0,39.25
bradlav01,Avery Bradley,Team.DETROIT_PISTONS,Location.AWAY,Team.CHICAGO_BULLS,2018-01-13,Outcome.LOSS,2279,10,19,6,10,0,0,26,3,1,2,1,4,0,0,38.25
kuzmaky01,Kyle Kuzma,Team.LOS_ANGELES_LAKERS,Location.AWAY,Team.DALLAS_MAVERICKS,2018-01-13,Outcome.WIN,2132,8,13,1,2,1,2,18,10,3,1,0,2,1,0,38.0
foxde01,De'Aaron Fox,Team.SACRAMENTO_KINGS,Location.AWAY,Team.LOS_ANGELES_CLIPPERS,2018-01-13,Outcome.LOSS,2121,6,17,1,4,4,5,17,1,10,2,0,4,1,0,37.25
holliro01,Rondae Hollis-Jefferson,Team.BROOKLYN_NETS,Location.AWAY,Team.WASHINGTON_WIZARDS,2018-01-13,Outcome.LOSS,2304,9,15,0,1,4,5,22,4,7,0,0,3,0,0,36.0
carrode01,DeMarre Carroll,Team.BROOKLYN_NETS,Location.AWAY,Team.WASHINGTON_WIZARDS,2018-01-13,Outcome.LOSS,1964,6,13,1,6,0,0,13,10,3,2,0,0,1,0,36.0
thompkl01,Klay Thompson,Team.GOLDEN_STATE_WARRIORS,Location.AWAY,Team.TORONTO_RAPTORS,2018-01-13,Outcome.WIN,2311,11,16,2,5,2,2,26,4,0,1,1,0,0,0,36.0
markkla01,Lauri Markkanen,Team.CHICAGO_BULLS,Location.HOME,Team.DETROIT_PISTONS,2018-01-13,Outcome.WIN,1607,7,15,4,7,1,1,19,4,1,3,1,1,0,0,35.0
willima02,Marvin Williams,Team.CHARLOTTE_HORNETS,Location.HOME,Team.OKLAHOMA_CITY_THUNDER,2018-01-13,Outcome.LOSS,1656,6,9,3,5,1,1,16,9,4,0,0,0,0,0,34.75
leverca01,Caris LeVert,Team.BROOKLYN_NETS,Location.AWAY,Team.WASHINGTON_WIZARDS,2018-01-13,Outcome.LOSS,2128,5,16,1,7,1,2,12,8,8,1,0,5,0,0,34.0
ferreyo01,Yogi Ferrell,Team.DALLAS_MAVERICKS,Location.HOME,Team.LOS_ANGELES_LAKERS,2018-01-13,Outcome.LOSS,2571,5,14,1,10,0,0,11,10,4,1,0,0,1,0,33.5
greendr01,Draymond Green,Team.GOLDEN_STATE_WARRIORS,Location.AWAY,Team.TORONTO_RAPTORS,2018-01-13,Outcome.WIN,2292,5,10,2,6,2,2,14,3,8,0,1,0,0,0,32.75
smithde03,Dennis Smith,Team.DALLAS_MAVERICKS,Location.HOME,Team.LOS_ANGELES_LAKERS,2018-01-13,Outcome.LOSS,2348,8,19,3,9,4,4,23,2,3,1,0,3,0,0,32.0
barneha02,Harrison Barnes,Team.DALLAS_MAVERICKS,Location.HOME,Team.LOS_ANGELES_LAKERS,2018-01-13,Outcome.LOSS,2316,7,21,1,5,2,2,17,5,3,2,0,1,0,0,31.75
harremo01,Montrezl Harrell,Team.LOS_ANGELES_CLIPPERS,Location.HOME,Team.SACRAMENTO_KINGS,2018-01-13,Outcome.WIN,1317,7,12,0,1,3,4,17,6,1,2,1,1,0,0,31.5
georgpa01,Paul George,Team.OKLAHOMA_CITY_THUNDER,Location.AWAY,Team.CHARLOTTE_HORNETS,2018-01-13,Outcome.WIN,2129,6,14,2,5,3,4,17,8,0,1,1,2,0,0,31.0
balllo01,Lonzo Ball,Team.LOS_ANGELES_LAKERS,Location.AWAY,Team.DALLAS_MAVERICKS,2018-01-13,Outcome.WIN,2585,4,13,1,7,0,0,9,7,7,1,0,0,0,0,30.75
dinwisp01,Spencer Dinwiddie,Team.BROOKLYN_NETS,Location.AWAY,Team.WASHINGTON_WIZARDS,2018-01-13,Outcome.LOSS,2110,4,16,2,10,3,3,13,6,4,1,1,2,0,0,30.5
mirotni01,Nikola Mirotić,Team.CHICAGO_BULLS,Location.HOME,Team.DETROIT_PISTONS,2018-01-13,Outcome.WIN,1301,6,13,4,9,0,0,16,6,1,1,1,2,0,0,30.0
labissk01,Skal Labissière,Team.SACRAMENTO_KINGS,Location.AWAY,Team.LOS_ANGELES_CLIPPERS,2018-01-13,Outcome.LOSS,1300,5,8,2,2,2,4,14,7,1,1,1,0,0,0,29.25
harriga01,Gary Harris,Team.DENVER_NUGGETS,Location.AWAY,Team.SAN_ANTONIO_SPURS,2018-01-13,Outcome.LOSS,1824,6,16,2,8,4,4,18,2,2,2,0,0,0,0,28.5
clarkjo01,Jordan Clarkson,Team.LOS_ANGELES_LAKERS,Location.AWAY,Team.DALLAS_MAVERICKS,2018-01-13,Outcome.WIN,1828,9,18,1,4,0,0,19,3,4,0,0,2,0,0,28.25
porteot01,Otto Porter,Team.WASHINGTON_WIZARDS,Location.HOME,Team.BROOKLYN_NETS,2018-01-13,Outcome.WIN,2241,6,13,0,2,0,0,12,9,1,1,1,1,0,0,28.25
vanvlfr01,Fred VanVleet,Team.TORONTO_RAPTORS,Location.HOME,Team.GOLDEN_STATE_WARRIORS,2018-01-13,Outcome.LOSS,1288,5,9,3,6,0,0,13,5,4,1,0,2,0,0,27.75
smithis01,Ish Smith,Team.DETROIT_PISTONS,Location.AWAY,Team.CHICAGO_BULLS,2018-01-13,Outcome.LOSS,1607,5,10,0,1,2,2,12,2,6,1,1,0,0,0,27.5
griffbl01,Blake Griffin,Team.LOS_ANGELES_CLIPPERS,Location.HOME,Team.SACRAMENTO_KINGS,2018-01-13,Outcome.WIN,1719,3,8,1,4,4,4,11,4,9,0,0,5,0,0,27.5
allenja01,Jarrett Allen,Team.BROOKLYN_NETS,Location.AWAY,Team.WASHINGTON_WIZARDS,2018-01-13,Outcome.LOSS,1731,6,10,0,0,4,5,16,8,1,0,0,1,0,0,27.0
walkeke02,Kemba Walker,Team.CHARLOTTE_HORNETS,Location.HOME,Team.OKLAHOMA_CITY_THUNDER,2018-01-13,Outcome.LOSS,2031,5,17,2,7,7,8,19,3,2,1,0,5,0,0,26.25
valanjo01,Jonas Valančiūnas,Team.TORONTO_RAPTORS,Location.HOME,Team.GOLDEN_STATE_WARRIORS,2018-01-13,Outcome.LOSS,1577,3,8,0,0,6,6,12,9,3,0,0,3,0,0,26.25
anderky01,Kyle Anderson,Team.SAN_ANTONIO_SPURS,Location.HOME,Team.DENVER_NUGGETS,2018-01-13,Outcome.WIN,1508,3,9,0,3,2,2,8,6,6,1,0,1,0,0,26.0
matthwe02,Wesley Matthews,Team.DALLAS_MAVERICKS,Location.HOME,Team.LOS_ANGELES_LAKERS,2018-01-13,Outcome.LOSS,2346,5,10,3,6,4,4,17,1,4,0,0,0,0,0,25.75
aldrila01,LaMarcus Aldridge,Team.SAN_ANTONIO_SPURS,Location.HOME,Team.DENVER_NUGGETS,2018-01-13,Outcome.WIN,1606,7,13,0,2,1,1,15,6,0,1,1,2,0,0,25.5
