,ID,Name,slug,name
0,15009909,Luka Doncic,doncilu01,Luka Dončić
1,15009914,Giannis Antetokounmpo,antetgi01,Giannis Antetokounmpo
2,15009917,James Harden,hardeja01,James Harden
3,15009921,LeBron James,jamesle01,LeBron James
4,15009926,Anthony Davis,davisan02,Anthony Davis
5,15009930,Damian Lillard,lillada01,Damian Lillard
6,15009933,Nikola Jokic,jokicni01,Nikola Jokić
7,15009935,Russell Westbrook,westbru01,Russell Westbrook
8,15009938,Jusuf Nurkic,nurkiju01,Jusuf Nurkić
9,15009942,Kawhi Leonard,leonaka01,Kawhi Leonard
10,15009945,Domantas Sabonis,,
11,15009949,Kristaps Porzingis,porzikr01,Kristaps Porziņģis
12,15009951,T.J. Warren,warretj01,T.J. Warren
13,15009955,Devin Booker,bookede01,Devin Booker
14,15009959,CJ McCollum,mccolcj01,CJ McCollum
15,15009963,Paul George,georgpa01,Paul George
16,15009966,Bam Adebayo,adebaba01,Bam Adebayo
17,15009968,Khris Middleton,middlkh01,Khris Middleton
18,15009971,Jamal Murray,,
19,15009974,Deandre Ayton,aytonde01,Deandre Ayton
20,15009978,Jimmy Butler,butleji01,Jimmy Butler
21,15009983,Malcolm Brogdon,brogdma01,Malcolm Brogdon
22,15009986,Will Barton,,
23,15009991,Ricky Rubio,rubiori01,Ricky Rubio
24,15009994,Robert Covington,covinro01,Robert Covington
25,15009998,Michael Porter Jr.,portemi01,Michael Porter
26,15010002,Myles Turner,turnemy01,Myles Turner
27,15010004,Tim Hardaway Jr.,hardati02,Tim Hardaway
28,15010009,Montrezl Harrell,,
29,15010011,Reggie Jackson,jacksre01,Reggie Jackson
30,15010014,Carmelo Anthony,anthoca01,Carmelo Anthony
31,15010018,Victor Oladipo,oladivi01,Victor Oladipo
32,15010023,Brook Lopez,lopezbr01,Brook Lopez
33,15010025,Paul Millsap,millspa01,Paul Millsap
34,15010028,Eric Bledsoe,bledser01,Eric Bledsoe
35,15010031,Donte DiVincenzo,divindo01,Donte DiVincenzo
36,15010035,Kelly Oubre Jr.,,
37,15010039,Hassan Whiteside,whiteha01,Hassan Whiteside
38,15010041,Goran Dragic,dragigo01,Goran Dragić
39,15010044,Duncan Robinson,robindu01,Duncan Robinson
40,15010049,Lou Williams,willilo02,Lou Williams
41,15010057,Dario Saric,saricda01,Dario Šarić
42,15010061,Cameron Johnson,johnsca02,Cameron Johnson
43,15010065,Mikal Bridges,bridgmi01,Mikal Bridges
44,15010053,Danuel House Jr.,houseda01,Danuel House
45,15010070,Kelly Olynyk,olynyke01,Kelly Olynyk
46,15010074,Aaron Holiday,holidaa01,Aaron Holiday
47,15010078,Ivica Zubac,zubaciv01,Ivica Zubac
48,15010080,Dorian Finney-Smith,finnedo01,Dorian Finney-Smith
49,15010084,Monte Morris,morrimo01,Monte Morris
50,15010087,Aron Baynes,,
51,15010092,Jeremy Lamb,,
52,15010089,Gary Harris,,
53,15010095,Kyle Kuzma,kuzmaky01,Kyle Kuzma
54,15010106,Jae Crowder,crowdja01,Jae Crowder
55,15010099,Seth Curry,curryse01,Seth Curry
56,15010102,Maxi Kleber,klebima01,Maxi Kleber
57,15010109,Gary Trent Jr.,trentga02,Gary Trent
58,15010114,Jerami Grant,grantje01,Jerami Grant
59,15010117,Zach Collins,colliza01,Zach Collins
60,15010127,Ersan Ilyasova,ilyaser01,Ersan İlyasova
61,15010123,Marcus Morris Sr.,morrima03,Marcus Morris
62,15010121,P.J. Tucker,tuckepj01,P.J. Tucker
63,15010131,Kendrick Nunn,nunnke01,Kendrick Nunn
64,15010135,Justin Holiday,holidju01,Justin Holiday
65,15010145,T.J. McConnell,mccontj01,T.J. McConnell
66,15010140,Torrey Craig,craigto01,Torrey Craig
67,15010148,Jeff Green,greenje02,Jeff Green
68,15010150,George Hill,hillge01,George Hill
69,15010162,Derrick Jones Jr.,,
70,15010153,Delon Wright,wrighde01,Delon Wright
71,15010166,Patrick Beverley,beverpa01,Patrick Beverley
72,15010169,JaMychal Green,greenja01,JaMychal Green
73,15010157,Eric Gordon,,
74,15010173,Dion Waiters,waitedi01,Dion Waiters
75,15010178,Kentavious Caldwell-Pope,caldwke01,Kentavious Caldwell-Pope
76,15010183,Marvin Williams,willima02,Marvin Williams
77,15010188,Tyler Herro,herroty01,Tyler Herro
78,15010186,Mason Plumlee,plumlma01,Mason Plumlee
79,15010191,Cameron Payne,payneca01,Cameron Payne
80,15010194,Trey Burke,burketr01,Trey Burke
81,15010197,JaVale McGee,mcgeeja01,JaVale McGee
82,15010199,Alex Caruso,carusal01,Alex Caruso
83,15010203,Kyle Korver,korveky01,Kyle Korver
84,15010208,Sterling Brown,brownst02,Sterling Brown
85,15010213,Andre Iguodala,iguodan01,Andre Iguodala
86,15010218,Robin Lopez,lopezro01,Robin Lopez
87,15010220,Pat Connaughton,connapa01,Pat Connaughton
88,15010225,Doug McDermott,mcderdo01,Doug McDermott
89,15010229,Danny Green,greenda02,Danny Green
90,15010234,Jevon Carter,carteje01,Jevon Carter
91,15010262,Jakarr Sampson,sampsja02,JaKarr Sampson
92,15010238,J.J. Barea,bareajo01,J.J. Barea
93,15010242,Courtney Lee,,
94,15010245,Boban Marjanovic,marjabo01,Boban Marjanović
95,15010247,Justin Jackson,jacksju01,Justin Jackson
96,15010251,Troy Daniels,danietr01,Troy Daniels
97,15010254,PJ Dozier,doziepj01,PJ Dozier
98,15010257,Ben McLemore,mclembe01,Ben McLemore
99,15010265,Dwight Howard,howardw01,Dwight Howard
100,15010267,Wesley Matthews,matthwe02,Wesley Matthews
101,15010277,Cameron Reynolds,,
102,15010280,Frank Mason III,masonfr01,Frank Mason
103,15010283,Thanasis Antetokounmpo,,
104,15010286,D.J. Wilson,wilsodj01,D.J. Wilson
105,15010370,Udonis Haslem,,
106,15010372,Solomon Hill,hillso01,Solomon Hill
107,15010376,Meyers Leonard,,
108,15010380,Gabe Vincent,,
109,15010383,Chris Silva,,
110,15010385,Kyle Alexander,,
111,15010387,KZ Okpala,,
112,15010290,Frank Kaminsky,kaminfr01,Frank Kaminsky
113,15010292,Tariq Owens,,
114,15010294,Cheick Diallo,,
115,15010298,Ty Jerome,,
116,15010302,Elie Okobo,,
117,15010306,Jalen Lecque,,
118,15010390,Naz Mitrou-Long,,
119,15010394,Edmond Sumner,sumneed01,Edmond Sumner
120,15010399,TJ Leaf,leaftj01,T.J. Leaf
121,15010403,Alize Johnson,,
122,15010406,Brian Bowen II,,
123,15010409,Goga Bitadze,,
124,15010270,Jalen Brunson,,
125,15010310,Dwight Powell,,
126,15010312,Michael Kidd-Gilchrist,,
127,15010315,Willie Cauley-Stein,,
128,15010317,Antonius Cleveland,clevean01,Antonius Cleveland
129,15010320,Josh Reaves,,
130,15010411,Joakim Noah,noahjo01,Joakim Noah
131,15010413,Patrick Patterson,pattepa01,Patrick Patterson
132,15010416,Rodney McGruder,mcgruro01,Rodney McGruder
133,15010421,Johnathan Motley,,
134,15010423,Terance Mann,mannte01,Terance Mann
135,15010426,Landry Shamet,shamela01,Landry Shamet
136,15010431,Mfiondu Kabengele,,
137,15010435,Amir Coffey,coffeam01,Amir Coffey
138,15010323,Noah Vonleh,vonleno01,Noah Vonleh
139,15010327,Keita Bates-Diop,bateske01,Keita Bates-Diop
140,15010331,Tyler Cook,,
141,15010333,Vlatko Cancar,,
142,15010336,Bol Bol,bolbo01,Bol Bol
143,15010438,Trevor Ariza,,
144,15010441,Rodney Hood,,
145,15010444,Mario Hezonja,hezonma01,Mario Hezonja
146,15010447,Jaylen Adams,,
147,15010450,Caleb Swanigan,,
148,15010452,Wenyen Gabriel,,
149,15010455,Anfernee Simons,simonan01,Anfernee Simons
150,15010459,Jaylen Hoard,,
151,15010462,Moses Brown,,
152,15010464,Nassir Little,,
153,15010273,Austin Rivers,riverau01,Austin Rivers
154,15010340,Tyson Chandler,,
155,15010342,DeMarre Carroll,,
156,15010346,Luc Richard Mbah a Moute,,
157,15010350,Thabo Sefolosha,,
158,15010353,Michael Frazier,,
159,15010357,David Nwaba,,
160,15010360,Bruno Caboclo,,
161,15010364,Chris Clemons,,
162,15010367,William Howard,,
163,15010468,Jared Dudley,dudleja01,Jared Dudley
164,15010472,J.R. Smith,smithjr01,J.R. Smith
165,15010477,Rajon Rondo,,
166,15010480,Markieff Morris,morrima02,Markieff Morris
167,15010484,Avery Bradley,,
168,15010487,Quinn Cook,cookqu01,Quinn Cook
169,15010490,Devontae Cacok,,
170,15010493,Kostas Antetokounmpo,antetko01,Kostas Antetokounmpo
171,15010496,Talen Horton-Tucker,,
